# Исходные данные
Ступень;dн, мкм;dв, мкм;Масса, мкг
Ступень 0;9.0;10.0;0.0034
Ступень 1;5.8;9.0;0.0115
Ступень 2;4.7;5.8;0.0233
Ступень 3;3.3;4.7;0.0582
Ступень 4;2.1;3.3;0.0408
Ступень 5;1.1;2.1;0.014
Ступень 6;0.65;1.1;0.0015
Ступень 7;0.43;0.65;0.0
# Результаты расчета
MMAD (d50), мкм;3.7
GSD;1.5
d10, мкм;2.1
d16, мкм;2.3
d84, мкм;5.3
d90, мкм;5.8
Span;0.99
FPF (< 5 мкм), %;79
Лог. средний диаметр, мкм, %;3.6
Среднемассовый диаметр, мкм;3.9
Модальный диаметр, мкм;3.9

